A1	Codigouf	Codigomunicipio	Nome	A118	A119	A120	A121	A122	A123	A124	A125	A126	A127	A128	A129	A130	A131	A132	A133	A134	A135	A136	A137	A138	A139
3122207	31	22207	DIVINOLANDIA DE MINAS	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3122306	31	22306	DIVINOPOLIS	Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3122355	31	22355	DIVISA ALEGRE	Sim	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Sim	Não	Sim	Sim	Sim
3122405	31	22405	DIVISA NOVA	Sim	Não	Não	Sim	Não	Sim	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim
3122454	31	22454	DIVISOPOLIS	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3122470	31	22470	DOM BOSCO	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3122504	31	22504	DOM CAVATI	Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Sim	Sim
3122603	31	22603	DOM JOAQUIM	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Sim	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3122702	31	22702	DOM SILVERIO	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3122801	31	22801	DOM VICOSO	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim
3122900	31	22900	DONA EUSEBIA	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim
3123007	31	23007	DORES DE CAMPOS	Não contratou	-	-	-	-	-	-	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3123106	31	23106	DORES DE GUANHAES	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3123205	31	23205	DORES DO INDAIA	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim
3123304	31	23304	DORES DO TURVO	Sim	Não	Não	Sim	Não	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Sim	Sim	Sim
